stamp_id,photo_path_type,photo_path_type,description,type_name,color,paper,perforation,plate_flaw,catalog_price_superb **,catalog_price_extra_fine,catalog_price_very_fine *,catalog_price_fine,catalog_price_avg (*),catalog_price_poor,catalog_price_post_cover,,,,,
5,path_type1,,zeleno modrá,IIIa,green-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,sytě tmavě modrá,IIIb,deep dark-blue,machine paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,sytě tmavě modrá,IIIa,deep dark-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,sytě tmavě modrá,IIIb,deep dark-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,černo modrá,IIIa,black-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,černo modrá,IIIb,black-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
6,path_type1,,světle až tmavě modrá,I,light to dark blue,machine paper,hand-cut,-,,,,,,,,,,,,
6,path_type1,,světle zelenomodrý papír,Iy,light greenish-blue,reamed paper,hand-cut,-,,,,,,,,,,,,
6,path_type1,,modrý až tmavě modrý,II,blue to dark blue,machine paper,hand-cut,-,,,,,,,,,,,,
6,path_type1,,modrý,IIa,blue,machine paper,hand-cut,-,,,,,,,,,,,,
7,path_type1,,"žlutá, okrově žlutá",Ia,"yellow, ochre yellow",machine paper,hand-cut,-,,,,,,,,,,,,
7,path_type1,,hnědooranžový,Ib,brown-orange,machine paper,hand-cut,-,,,,,,,,,,,,
8,path_type1,,růžový,Ia,pink,machine paper,hand-cut,-,,,,,,,,,,,,
8,path_type1,,tmavě růžová,Ib,dark pink,machine paper,hand-cut,-,,,,,,,,,,,,
9,path_type1,,Vermilionová,II,vermilion,machine paper,hand-cut,-,,,,,,,,,,,,
10,path_type1,,žluta,Ia,yellow,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,tmavě žlutá,Ib,dark-yellow,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,světle žlutá,IIa,light yellow,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,tmavě žlutá,IIb,dark yellow,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,světle oranžová,IIc,light orange,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,tmavě oranžová,IId,dark orange,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,oranžová,IIe,orange,machine paper,14 1/2,-,,,,,,,,,,,,
10,path_type1,,sírová žlutá,IIf,sulphur yellow,machine paper,14 1/2,-,,,,,,,,,,,,
11,,,černá,Ia,Black,machine paper,14 1/2,-,,,,,,,,,,,,
11,path_type1,,černá buldočí brada,Ib,black bulldog chin,machine paper,14 1/2,PF I,,,,,500,,1200,,,,,
11,,,černá,Iba,Black,machine paper,17 1/2,-,,,,,,,,,,,,
11,,,šedo černá,Ibb,grey black,machine paper,14 1/2,-,,,,,,,,,,,,
11,,,černá,Ic,black,machine paper,14 1/2,-,,,,,,,,,,,,
11,path_type1,,černá,IIa,black,machine paper,14 1/2,-,,,,,,,,,,,,
11,path_type1,,šedo černá,IIb,grey black,machine paper,14 1/2,-,,,,,,,,,,,,
12,,,zelená,IIa,green,machine paper,14 1/2,-,,,,,,,,,,,,
12,,,modro-zelená,IIb,blue-green,machine paper,14 1/2,-,,,,,,,,,,,,
13,,,červená,Ia,Red,machine paper,14 1/2,-,,,,,,,,,,,,
13,path_type1,,tmavě červená,Ib,dark red,machine paper,14 1/2,-,,,,,,,,,,,,
13,path_type1,,světle červené,IIa,light red,machine paper,14 1/2,-,,,,,,,,,,,,
13,path_type1,,červená,IIb,Red,machine paper,14 1/2,-,,,,,,,,,,,,
13,path_type1,,tmavě červená,IIc,dark red,machine paper,14 1/2,-,,,,,,,,,,,,
13,path_type1,,rámeček v typu,II/I,frame in type,machine paper,14 1/2,-,,,,,,,,,,,,
14,path_type1,,hnědá,Ia,Brown,machine paper,14 1/2,-,,,,,,,,,,,,
14,,,sytě hnědá,Ib,deepl-brown,machine paper,14 1/2,-,,,,,,,,,,,,
14,,,světle hnědá,IIa,light brown,machine paper,14 1/2,-,,,,,,,,,,,,
14,path_type1,,lila hnědá,IIb,lilac brown,machine paper,14 1/2,-,,,,,,,,,,,,
14,path_type1,,černo hnědá,IIc,black brown,machine paper,14 1/2,-,,,,,,,,,,,,
15,path_type1,,světle modrá,Ia,light blue,machine paper,14 1/2,-,,,,,,,,,,,,
15,path_type1,,tmavě modrá,Ib,dark blue,machine paper,14 1/2,-,,,,,,,,,,,,
15,,,černo modrá,Ic,black blue,machine paper,14 1/2,-,,,,,,,,,,,,
15,path_type1,,světle modrá,IIa,light blue,machine paper,14 1/2,-,,,,,,,,,,,,
15,path_type1,,tmavě modrá,IIb,dark blue,machine paper,14 1/2,-,,,,,,,,,,,,
15,path_type1,,černo modrá,IIc,black blue,machine paper,14 1/2,-,,,,,,,,,,,,
15,path_type1,,05 instead 15,II,blue,machine paper,14 1/2,PF I,,,,,,,,,,,,
16,path_type1,,světle modrá,a,light blue,machine paper,hand-cut,-,,,,,,,,,,,,
16,path_type1,,tmavě modrá,b,dark blue,machine paper,hand-cut,-,,,,,,,,,,,,
16,path_type1,,sytě tmavě modrá,c,deep dark blue,machine paper,hand-cut,-,,,,,,,,,,,,
17,path_type1,,tmavý lila,a,dark lilac,machine paper,hand-cut,-,,,,,,,,,,,,
17,path_type1,,šedá lila,b,grey lilac,machine paper,hand-cut,-,,,,,,,,,,,,
17,path_type1,,sytě tmavě lila,c,deep dark lilac,machine paper,hand-cut,-,,,,,,,,,,,,
18,path_type1,,světle žlutá,a,light yellow,machine paper,14,-,,,,,,,,,,,,
18,path_type1,,žloutkově žlutá,b,yolk yellow,machine paper,14,-,,,,,,,,,,,,
19,path_type1,,světle zelená,a,light green,machine paper,14,-,,,,,,,,,,,,
19,path_type1,,tmavě zelená,b,dark green,machine paper,14,-,,,,,,,,,,,,
20,path_type1,,světle červená,a,light red,machine paper,14,-,,,,,,,,,,,,
20,path_type1,,tmavě červená,b,dark red,machine paper,14,-,,,,,,,,,,,,
21,path_type1,,světla hnědá,a,light brown,machine paper,14,-,,,,,,,,,,,,
21,path_type1,,tmavě hnědá,b,dark brown,machine paper,14,-,,,,,,,,,,,,
22,path_type1,,světle modrá,a,light blue,machine paper,14,-,,,,,,,,,,,,
22,path_type1,,tmavě modrá,b,dark blue,machine paper,14,-,,,,,,,,,,,,
23,path_type1,,světle šedá,a,hellgrau,machine paper,hand-cut,-,,,,,,,,,,,,
23,path_type1,,tmavě šedá,b,dunkelgrau,machine paper,hand-cut,-,,,,,,,,,,,,
23,path_type1,,šedo fialová,c,grau-violett,machine paper,hand-cut,-,,,,,,,,,,,,
23,path_type1,,tmavě fialová,d,dunkelviolett,machine paper,hand-cut,-,,,,,,,,,,,,
23,path_type1,,nahnědlá lila,e,bräunliches Lila,machine paper,hand-cut,-,,,,,,,,,,,,
24,path_type1,,světle žlutá,a,light yellow,machine paper,14,-,,,,,,,,,,,,
24,path_type1,,žloutkově žlutá,b,yolk yellow,machine paper,14,-,,,,,,,,,,,,
25,path_type1,,naložutle zelená,a,yellowish green,machine paper,14,-,,,,,,,,,,,,
25,path_type1,,tmavě zelená,b,dark green,machine paper,14,-,,,,,,,,,,,,
26,path_type1,,červená,a,red,machine paper,14,-,,,,,,,,,,,,
26,path_type1,,karmínově červená,b,crimson red,machine paper,14,-,,,,,,,,,,,,
